title,type_code,faction_code,pack_code,stripped_text
Nathaniel "Gnat" Hall: One-of-a-Kind,identity,anarch,rar,"When your turn begins, gain 1 credit if you have 2 or fewer cards in your grip."
Omar Keung: Conspiracy Theorist,identity,anarch,es,"click: Run Archives. If that run would be declared successful, change the attacked server to HQ or R&D for the remainder of that run. Use this ability only once per turn."
Reina Roja: Freedom Fighter,identity,anarch,mt,"The first piece of ice the Corp rezzes each turn costs 1 credit more to rez."
Valencia Estevez: The Angel of Cayambe,identity,anarch,oac,"The Corp starts the game with 1 bad publicity."
Day Job,event,anarch,oac,"As an additional cost to play this event, spend click click click. Gain 10 credits."
Demolition Run,event,anarch,core,"Run HQ or R&D. Access -> 0 credits: Trash the card you are accessing."
Déjà Vu,event,anarch,core,"Add 1 card (or up to 2 virus cards) from your heap to your grip."
Fear the Masses,event,anarch,ftm,"Run HQ. If successful, instead of breaching HQ, reveal any number of copies of Fear the Masses from your grip. The Corp trashes X cards from the top of R&D, where X is equal to 1 plus the number of cards you revealed. Limit 6 per deck."
Frame Job,event,anarch,om,"As an additional cost to play this event, spend click. Forfeit an agenda. If you do, give the Corp 1 bad publicity."
Hacktivist Meeting,event,anarch,bb,"This card is not trashed until another current is played or an agenda is scored. As an additional cost to rez non-ice cards, the Corp must randomly trash a card from HQ."
Immolation Script,event,anarch,cc,"Run Archives. If successful, whenever you would access a faceup piece of ice in Archives this run, you may instead trash 1 rezzed copy of that ice. Use this ability only once this run."
Political Graffiti,event,anarch,dag,"Run Archives. If successful, instead of breaching Archives, host this event on an agenda in the Corp's score area as a condition counter with 'Host agenda is worth 1 less agenda point. When the Corp purges virus counters, trash this counter.'"
Power to the People,event,anarch,uot,"Play only as your first click. The first time you access an agenda this turn, gain 7 credits."
Pushing the Envelope,event,anarch,dc,"Make a run. If you have 2 or fewer cards in your grip, each installed icebreaker has +2 strength until the end of the run."
Queen's Gambit,event,anarch,dt,"As an additional cost to play this event, spend click. Place up to 3 advancement counters on 1 unrezzed card in the root of a remote server. Gain 2 credits for each counter placed this way. You cannot access that card for the remainder of the turn."
Retrieval Run,event,anarch,fp,"Run Archives. If successful, instead of breaching Archives, you may install 1 program from your heap, ignoring all costs."
Rumor Mill,event,anarch,bm,"This card is not trashed until another current is played or an agenda is scored. Each unique non-region asset and upgrade loses its printed abilities."
Singularity,event,anarch,dt,"As an additional cost to play this event, spend click. Run a remote server. If successful, instead of breaching that server, trash all cards installed in the root of that server."
Stimhack,event,anarch,core,"Place 9 credits on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented."
The Noble Path,event,anarch,tlm,"Trash your grip. Make a run. Prevent all damage during this run."
Archives Interface,hardware,anarch,oac,"Interrupt -> Whenever you would access a card in Archives, you may instead remove it from the game. Use this ability only once each time you breach Archives."
Cyberfeeder,hardware,anarch,core,"1 recurring credit Use this credit to pay for using icebreakers or for installing virus programs."
Ekomind,hardware,anarch,atr,"Your memory limit is equal to the number of cards in your grip. Limit 1 console per player."
Grimoire,hardware,anarch,core,"+2 mu Whenever you install a virus program, place 1 virus counter on that program. Limit 1 console per player."
Maw,hardware,anarch,dc,"+2 mu The first time each turn you access a card not in Archives and do not steal or trash it, the Corp must trash 1 card from HQ at random. Limit 1 console per player."
